customer_id,country,state,city,zip_code,gender,dob,sim_id
3668-QPYBK,United States,California,Los Angeles,90003,Male,3/4/1984,62813
9237-HQITU,United States,California,Los Angeles,90005,Female,3/9/1993,98201
9305-CDSKC,United States,California,Los Angeles,90006,Female,3/4/1984,23456
7892-POOKP,United States,California,Los Angeles,90010,Female,3/7/1982,45689
0280-XJGEX,United States,California,Los Angeles,90015,Male,3/4/1984,10987
4190-MFLUW,United States,California,Los Angeles,90020,Female,3/4/1984,25780
8779-QRDMV,United States,California,Los Angeles,90022,Male,3/9/1954,23459
1066-JKSGK,United States,California,Los Angeles,90024,Male,3/5/1967,53857
6467-CHFZW,United States,California,Los Angeles,90028,Male,3/6/1976,34096
8665-UTDHZ,United States,California,Los Angeles,90029,Male,3/7/1987,14567
8773-HHUOZ,United States,California,Los Angeles,90032,Female,1/8/1986,95324
6047-YHPVI,United States,California,Los Angeles,90039,Male,3/4/1987,45789
5380-WJKOV,United States,California,Los Angeles,90041,Male,23/9/1992,23468
8168-UQWWF,United States,California,Los Angeles,90042,Female,23/4/1991,34560
7760-OYPDY,United States,California,Los Angeles,90056,Female,5/8/1989,45982
9420-LOJKX,United States,California,Los Angeles,90061,Female,3/4/1984,12983
7495-OOKFY,United States,California,Los Angeles,90063,Female,21/4/1953,23985
1658-BYGOY,United States,California,Los Angeles,90065,Male,24/6/1952,34235
